,Genotype_x,Sample,ATStype,Count_x,Genotype_y,Stage,DBL,Count_y,CountN
25,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLe,1061.793,3.9119920515814526
26,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLpam,450.998,1.6616238676268653
27,AA,AA04,ATS,27142.00300000001,AA,Trophozoite,DBLz,293.9960000000001,1.0831772437723184
28,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLd,45853.19599999997,83.64928912546368
29,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLa,44848.16,81.81581721337501
30,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLb,17634.31800000001,32.17001852853115
31,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLe,8264.896,15.07752426016038
32,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLg,6072.986999999999,11.078857958302027
33,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLpam,4937.251,9.006952021053998
34,AA,AA05,ATS,54816.00200000001,AA,Ring,DBLz,1735.9210000000005,3.1668143181985444
35,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLd,10818.112000000003,46.79113579699797
36,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLa,10674.983000000011,46.17206580812301
37,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLe,8158.1990000000005,35.28632327599613
38,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLpam,6810.000000000001,29.455013479020753
39,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLb,1457.0189999999998,6.301984476386098
40,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLg,1061.9069999999997,4.593022760420922
41,AA,AA06,ATS,23120.002999999993,AA,Mixed,DBLz,408.9979999999999,1.76902226180507
42,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLd,15252.36300000001,84.50063072025662
43,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLa,14107.503000000002,78.15791568741918
44,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLb,9548.774000000001,52.90179794469797
45,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLg,5355.310000000002,29.66930912295343
46,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLe,4528.685999999999,25.089674520203577
47,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLpam,3809.001,21.102499784072016
48,AA,AA07,ATS,18049.998999999996,AA,Ring,DBLz,772.9069999999999,4.2820334782290015
49,AA,AA08,ATS,46517.00699999999,AA,Trophozoite,DBLa,37555.42500000002,80.73482672692167
50,AA,AA08,ATS,46517.00699999999,AA,Trophozoite,DBLd,37280.54999999998,80.14391381629517
51,AA,AA08,ATS,46517.00699999999,AA,Trophozoite,DBLb,35291.13499999999,75.86716617429835
52,AA,AA08,ATS,46517.00699999999,AA,Trophozoite,DBLg,18803.482999999993,40.422813531403676
53,AA,AA08,ATS,46517.00699999999,AA,Trophozoite,DBLe,6427.006,13.816465018912332
54,AA,AA08,ATS,46517.00699999999,AA,Trophozoite,DBLz,2360.2490000000003,5.073948545313762
