"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"NTSA6_D1_DD2var32",0,2,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA6_D1_DD2var9b",0,0,0,0,0,0,3.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA6_D1_HB3var03",0,0,0,2,0,0,5.355,0,0,0,0,0,0,0,26.534,0,0.871,0,1.3,0,0,0.5,0,0,0.5,94.5,0,0,2.004,0,0,0
"NTSA6_D1_IGHvar27",0,65.906,0,2,0,0,14.645,0,0,0,0,0,0,0,0,0,0.871,20,8.957,0,5.526,0.5,0,0,0.5,94.5,0,34,2.004,2,0,0
"NTSA6_D1_IT4var02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.002,0,0,0,0,0,0,0,0,0,0,14.318,0,0,0,0,0,0
"NTSA6_D1_IT4var03",0,0,0,0,7,0,0,7,0,0,1,0,0,14.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA6_D1_IT4var07",0,0,0,4,2.994,4,1.639,0,0,7,2.987,1,0,0,0,0,0,0,27.832,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA6_D1_IT4var08",0,0,0,0,0,0,0,5.019,0,0,0,9.241,0,0,0,0,0,5.989,20.623,237.636,66.01,0,1,0,1,0,0,0,0,0,0,0
"NTSA6_D1_PF11_0008",0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,29.283,0,33.739,0,18.474,0,0,0,0,0,0,0,0,0,11,10
"NTSA6_D1_PF11_0521",0,10,0,0,7.006,0,0,0,0,0,14.013,0,0,0,0,0,0,0,0,18.362,0,0,2,1,0,0,0,0,0,0,2.179,0
"NTSA6_D1_PFCLINvar33",0,0,0,0,0,1,0,6,0,0,0,0,0,16.448,0,0,0,0,0,13.466,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA6_D1_RAJ116var38",0,16.85,0,0,0,1.287,0,4.296,3.785,0,0,0,0,0,0,0,0,23.536,0,2.622,0,0,0,1.744,0,0,4,0,0,0,0,1
"NTSA7_D1_DD2var40",0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTSA7_D1_HB3var04",0,1,0,5.958,3,0,1,1.232,1,0,1,0,0,12.55,0,0,0,0,2.408,9.509,0,0,0,0,1,0,0,0,0,2.004,0,2.007
"NTSA7_D1_IGHvar26",0,0,0,0,3,0,2.005,0,0,0,0,0,0,14.735,1,0,0,59.031,6.003,3,0,0,0,0,0,0,0,1,0,0,0,0
"NTSA7_D1_IGHvar39",0,1.151,2,20.134,15.28,8.713,0,8.561,0,0,7.293,0,0,1.655,0,0,0,45.011,0,0,0,0,0,1.36,0,0,0,1,0,3.413,0,0
"NTSA7_D1_IT4var60",0,1,81.062,0,0.983,0,8.534,0,0,0,15,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,6,0,0,1
"NTSA7_D1_PFCLINvar49",0,0,0,4.001,0,4,1.501,86.93,0,0,0,0,0,7.374,0,0,0,3.887,5.153,11.489,0,0,0,0,0,0,6,0,0,0,0,0
"NTSA7_D1_PFCLINvar62",0,3,51.063,2.042,0,4,0,1.827,0,0,0,2,0,0,0,0,0,0,2.597,0,0,0,0,0,0,0,0,0,0,2,0,2
"NTSA7_D1_PFCLINvar68",0,3.999,27.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618,2,0,0,0,0,0,0,0,1.593,0,0,0,0,1.251
"NTSA7_D1_PFD0020c",0,0,0,1.592,0,0,62.93,17.987,5,0,0,0,0,67.269,2,0,3,29.392,32.073,40.156,0,0,2.996,0,0,0,0,0,0,0,12.835,6.918
